bp_idx,base_prompt,base_prompt_score,base_prompt_regression_score,generated_pv,generated_pv_score
500,Author a guide on creating sequences using everyday objects for a third-grader.,22.5,18.875,Author a guide creating sequences using everyday objects for third-grader.,19.015625
501,Design a guide to help third-graders understand pattern vocabulary.,20.25,19.1875,Design learning guide help third-graders understand pattern vocabulary.,19.328125
502,Design a guide to introduce third-graders to basic sequences.,21.0,19.0,Design guide third-grader sequences.,18.96875
503,Develop a pattern recognition guide suitable for a third-grade math lesson.,21.5,20.0,Develop pattern recognition guide for third-grade math lesson.,19.90625
504,Prepare a pattern-making guide for a third-grader to practice at home.,23.0,20.296875,Prepare pattern-making guide for third-grader to practice.,20.25
505,Design a guide for third-grade readers to recognize historical fiction book elements.,23.0,20.34375,Design guide third-grade readers recognize historical fiction book elements.,20.078125
506,Craft a learning guide for third-graders to analyze book reviews and ratings.,20.0,20.28125,Create learning guide for third-graders to analyze book reviews.,20.21875
507,Craft a learning guide for third-graders to analyze book covers and titles.,23.5,20.34375,Craft learning guide for third-graders to analyze book covers.,20.25
508,Develop a guide for third-grade students to understand book awards and recognition.,22.75,20.890625,Develop guide third-grade students understand book awards recognition.,21.1875
509,Prepare a guide for third-grade readers to identify illustrations in children's literature.,23.5,20.75,Prepare guide for third-grade readers illustrations children's literature.,20.734375
510,Prepare a guide for third-grade readers to identify humor in children's literature.,21.5,20.59375,Prepare third-grade readers guide humor children's literature.,20.65625
511,Develop a guide for third-grade students to understand dystopian book themes.,20.25,19.953125,Develop guide for third-grade students dystopian book themes.,19.828125
512,Design a guide for third-grade readers to learn about book clubs and discussions.,22.25,21.21875,Design learning guide for third-grader book club discussions.,20.5
513,Produce a study guide for third-grade students to learn about mythology book features.,22.0,20.109375,Produce study guide third-grade students learn mythology book features.,19.578125
514,Write a guide for third-graders to recognize utopian book characteristics.,22.5,18.71875,Write guide third-graders recognize utopian book characteristics.,18.71875
515,Design a guide for third-grade readers to learn about environmental fiction book features.,21.75,20.59375,Design guide third-grade readers learn environmental fiction book features.,20.1875
516,Craft a learning guide for third-graders to analyze informational book content.,23.0,20.21875,Craft learning guide third-graders informational book content.,19.796875
517,Create a reading guide for a third-grader on identifying fantasy book genres.,22.5,19.390625,Create reading guide for third-grader fantasy book genres.,19.421875
518,Create a guide for third-graders to explore audiobooks as a reading option.,22.25,19.140625,Create a guide for third-graders audiobooks.,18.765625
519,Write a guide for third-graders to recognize book recommendations from teachers and peers.,21.5,19.84375,Write learning guide for third-graders book recommendations.,19.796875
520,Compose a guide for third-graders to distinguish between chapter books and early readers.,23.25,20.015625,Compose guide third-graders distinguish chapter books early readers.,19.828125
521,Design a guide for third-grade readers to learn about series books and their benefits.,21.5,21.109375,Design learning guide for third-grade readers series books benefits.,20.984375
522,Create a guide for third-graders to explore graphic novels as a book genre.,21.25,20.359375,Create guide for third-graders graphic novels.,20.0625
523,Compose a guide for third-graders to distinguish between print and digital books.,21.25,20.4375,Compose guide third-graders distinguish between print digital books.,20.234375
524,Develop a guide for third-grade students to understand early reader book characteristics.,20.25,20.71875,Develop learning guide for third-grade students early reader book characteristics.,21.046875
525,Prepare a guide for third-grade readers to identify fantasy creatures in literature.,22.75,20.640625,Prepare learning guide third-grade readers fantasy creatures literature.,20.578125
526,Prepare a guide for third-grade readers to identify accessibility features in e-books.,22.5,20.484375,Prepare guide third-grade readers identify accessibility features e-books.,20.71875
527,Create a guide for third-graders to explore magical realism book elements.,21.75,19.46875,Create guide for third-graders book elements.,18.8125
528,Produce a study guide for third-grade students to learn about author studies and biographies.,21.75,19.8125,Produce study guide third-grade students author studies biographies.,19.953125
529,Write a comprehensive guide for third-graders to understand science fiction book characteristics.,21.75,19.671875,Write comprehensive guide for third-graders science fiction book characteristics.,19.734375
530,Write a guide for third-graders to recognize transitional books as a stepping stone.,23.0,19.71875,Writing guide third-graders transitional books.,19.140625
531,Craft a learning guide for third-graders to analyze realistic fiction book themes.,21.0,19.625,Craft learning guide for third-graders realistic fiction themes.,20.09375
532,Craft a learning guide for third-graders to analyze social justice book content.,23.75,19.953125,Craft learning guide third-graders social justice book content.,20.046875
533,Create a guide for third-graders to explore illustrated nonfiction book formats.,20.0,19.875,Create guide third-graders explore illustrated nonfiction book formats.,19.9375
534,Design a guide for third-grade readers to learn about biography book characteristics.,21.75,20.703125,Design guide third-grade readers learn biography book characteristics.,20.5
535,Write a guide for third-graders to recognize picture books as a distinct genre.,22.75,20.375,Write guide third-graders picture books genre.,19.859375
536,Develop a step-by-step guide for third-grade students to explore mystery book types.,24.25,19.9375,Develop step-by-step guide third-grade students explore mystery book types.,19.734375
537,Compose a guide for third-graders to distinguish between fiction and nonfiction books.,23.25,20.015625,Compose guide for third-graders distinguish fiction nonfiction books.,19.640625
538,Compose a guide for third-graders to distinguish between romance and non-romance books.,22.75,19.609375,Compose guide for third-graders distinguishing between romance non-romance books.,19.34375
539,Produce a study guide for third-grade students to learn about animal fiction book types.,19.5,20.0625,Produce study guide third-grade animal fiction book types.,19.859375
540,Develop a guide for third-grade students to understand poetry as a literary form.,23.25,21.234375,Develop guide for third-grade students understand poetry.,21.03125
541,Produce a study guide for third-grade students to learn about adventure book features.,22.75,20.046875,Create study guide third-grade students learn about adventure book features.,20.09375
542,Create a simple machines guide for a third-grade student to understand the concept of mechanical advantage.,21.75,20.859375,Create simple machines guide for third-grade student mechanical advantage.,20.828125
543,Compose a simple machines guide for a third-grade student to learn about simple machines in construction.,22.25,21.25,Compose simple machines guide for third-grade student construction.,20.953125
544,Prepare a simple machines guide for a third-grader to recognize the role of simple machines in transportation.,23.5,20.640625,Prepare simple machines guide for third-grader transportation.,20.6875
545,Produce a detailed guide for a third-grade student to learn about simple machines in everyday life.,23.75,21.234375,Produce detailed guide third-grade simple machines everyday life.,20.75
546,Craft a simple machines guide for a third-grader to understand the importance of simple machines.,21.5,20.671875,Craft simple machines guide for third-grader importance.,20.1875
547,Craft a simple machines guide for a third-grader to understand the connection between simple machines and technology.,22.0,20.28125,Craft simple machines guide for third-grader technology.,20.34375
548,Compose a simple machines guide for a third-grade student to learn about simple machines in historical events.,21.25,21.0,Compose simple machines guide for third-grade student historical events.,20.859375
549,Compose a beginner's guide to simple machines for a third-grade student with engaging examples.,20.25,20.5625,Compose learning guide simple machines third-grade student engaging examples.,20.59375
